회사명,거래소코드,회계년도,순운전자본비율점수,부채비율점수,재고자산증가율점수,총자산증가율점수,매입채무회전기간점수,매출액순이익률점수,자기자본순이익률점수,금융비용 대 총비용비율점수,총자산사업이익률점수,총자산투자효율점수,분기별 기업 위험 점수,회계년,회계달
(주)에스에스알,275630,2022-12-01,0.9542425094393248,1.0,3.010299956639812,2.5352941200427703,1.5563025007672873,0.6020599913279624,2.0969100130080567,1.4313637641589874,1.3979400086720375,0.9030899869919436,15.487502851048182,2022,12
(주)공구우먼,366030,2022-12-01,0.9542425094393248,1.0,0.3010299956639812,8.450980400142567,0.7781512503836436,0.6020599913279624,0.6989700043360189,0.9542425094393248,0.6989700043360189,0.9030899869919436,15.341736652060789,2022,12
(주)디와이디,219550,2022-12-01,4.771212547196624,1.0,3.010299956639812,0.8450980400142568,2.3344537511509307,0.6020599913279624,0.6989700043360189,0.4771212547196624,0.6989700043360189,0.9030899869919436,15.34127553671323,2022,12
(주)웨이버스,336060,2022-12-01,2.8627275283179747,4.0,0.0,0.8450980400142568,1.5563025007672873,1.806179973983887,1.3979400086720375,0.4771212547196624,1.3979400086720375,0.9030899869919436,15.246399302139087,2022,12
(주)메카로,241770,2022-12-01,0.9542425094393248,1.0,0.6020599913279624,1.6901960800285136,1.5563025007672873,0.6020599913279624,0.6989700043360189,0.9542425094393248,0.6989700043360189,6.3216299089436045,15.078673499946015,2022,12
(주)티앤엘,340570,2022-12-01,1.9084850188786495,1.0,2.709269960975831,1.6901960800285136,3.1126050015345745,0.6020599913279624,1.3979400086720375,0.9542425094393248,0.6989700043360189,0.9030899869919436,14.976858562184855,2022,12
피엔케이피부임상연구센타(주),347740,2022-12-01,0.9542425094393248,1.0,0.0,3.3803921600570277,0.7781512503836436,0.6020599913279624,1.3979400086720375,4.294091292476962,0.6989700043360189,1.806179973983887,14.912027190676865,2022,12
제이엠티(주),94970,2022-12-01,0.9542425094393248,3.0,0.6020599913279624,3.3803921600570277,3.1126050015345745,0.6020599913279624,0.6989700043360189,0.4771212547196624,0.6989700043360189,0.9030899869919436,14.429510904070494,2022,12
(주)칩스앤미디어,94360,2022-12-01,2.8627275283179747,4.0,0.0,0.8450980400142568,0.0,0.6020599913279624,0.6989700043360189,3.8169700377573,0.6989700043360189,0.9030899869919436,14.427885593081474,2022,12
(주)엠아이텍,179290,2022-12-01,0.9542425094393248,1.0,1.505149978319906,1.6901960800285136,1.5563025007672873,0.6020599913279624,0.6989700043360189,4.771212547196624,0.6989700043360189,0.9030899869919436,14.3801936027436,2022,12
(주)비올,335890,2022-12-01,0.9542425094393248,1.0,2.709269960975831,0.8450980400142568,2.3344537511509307,0.6020599913279624,0.6989700043360189,2.8627275283179747,0.6989700043360189,0.9030899869919436,13.60888177689026,2022,12
고려제약(주),14570,2022-12-01,0.9542425094393248,1.0,1.806179973983887,4.225490200071284,0.7781512503836436,1.2041199826559248,1.3979400086720375,0.4771212547196624,0.6989700043360189,0.9030899869919436,13.445305171253729,2022,12
(주)티씨케이,64760,2022-12-01,0.9542425094393248,1.0,2.709269960975831,1.6901960800285136,2.3344537511509307,0.6020599913279624,1.3979400086720375,0.9542425094393248,0.6989700043360189,0.9030899869919436,13.244464802361888,2022,12
(주)원티드랩,376980,2022-12-01,0.9542425094393248,3.0,0.0,1.6901960800285136,0.0,1.2041199826559248,1.3979400086720375,1.9084850188786495,0.6989700043360189,1.806179973983887,12.660133577994358,2022,12
(주)엠게임,58630,2022-12-01,0.9542425094393248,2.0,3.010299956639812,0.8450980400142568,0.0,0.6020599913279624,0.6989700043360189,2.8627275283179747,0.6989700043360189,0.9030899869919436,12.575458021403314,2022,12
(주)네이블커뮤니케이션즈,153460,2022-12-01,0.9542425094393248,1.0,0.3010299956639812,2.5352941200427703,2.3344537511509307,0.6020599913279624,0.6989700043360189,0.9542425094393248,0.6989700043360189,0.9030899869919436,10.982352872728276,2022,12
