회사명,거래소코드,회계년도,자산,유동부채,유동자산,부채,자본,재고자산,당기순이익,매출액,판매비와 관리비,매출원가,매입채무,금융원가
(주)피에이치씨,57880,2016/12,44695.0,17224.0,25797.0,17661.0,27034.0,7776.0,-5887.0,19041.0,10164.0,13933.0,447.95,713.0
(주)피에이치씨,57880,2017/12,42023.0,26359.0,20145.0,26888.0,15134.0,4211.0,-18169.0,15783.0,14180.0,16111.0,970.229,1561.0
(주)피에이치씨,57880,2018/12,43455.0,20899.0,18975.0,21284.0,22170.0,2382.0,-20440.0,6919.0,6544.0,5518.0,899.772,2690.0
(주)피에이치씨,57880,2019/12,68417.0,43416.0,20929.0,43974.0,24443.0,3286.0,-25409.0,9388.0,7906.0,8021.0,241.669,5446.0
(주)피에이치씨,57880,2020/12,84599.0,8799.0,46333.0,9212.0,75387.0,1935.0,7979.0,25110.0,9287.0,15648.0,897.836,6094.0
(주)피에이치씨,57880,2021/12,99310.0,4610.0,62152.0,5818.0,93492.0,6142.0,-31102.0,37483.0,24358.0,32609.0,217.112,8633.0
(주)피에이치씨,57880,2022/12,26133.0,5772.0,11326.0,7193.0,18939.0,1200.0,-67685.0,11625.0,25344.0,10621.0,526.639,23471.0
(주)피엔에이치테크,239890,2021/12,34212.0,13073.0,23042.0,14861.0,19351.0,9710.0,3634.0,24059.0,3895.0,16511.0,2268.093,269.0
(주)피엔에이치테크,239890,2022/12,62552.0,27590.0,41225.0,34103.0,28449.0,15215.0,7564.0,35044.0,5755.0,24485.0,2244.716,3365.0
(주)피엔티,137400,2012/12,78439.0,30811.0,56542.0,31720.0,46719.0,33574.0,4952.0,52745.0,4308.0,41996.0,9544.782,94.0
(주)피엔티,137400,2013/12,72852.0,24338.0,58635.0,24834.0,48018.0,28638.0,3320.0,82704.0,5373.0,72739.0,6714.971,94.0
(주)피엔티,137400,2014/12,88075.0,23360.0,69228.0,33399.0,54676.0,31557.0,6143.0,105650.0,9377.0,87457.0,8029.233,511.0
(주)피엔티,137400,2015/12,101809.0,30671.0,73006.0,48005.0,53804.0,27040.0,-233.0,91318.0,10226.0,81287.0,7416.941,850.0
